date,high,low,open,close,volume,quoteVolume,weightedAverage
2020-08-08 19:00:00,0.03346677,0.03321677,0.033432,0.0333,0.83744022,25.11994123,0.03333766
2020-08-08 19:30:00,0.03333245,0.03321677,0.03322801,0.03325997,2.64075236,79.37463516,0.03326947
2020-08-08 20:00:00,0.03324947,0.03314,0.03321392,0.03319285,3.51779883,105.98361484,0.03319191
2020-08-08 20:30:00,0.03320924,0.0331447,0.03319574,0.033157,0.51404477,15.49519682,0.03317445
2020-08-08 21:00:00,0.03324301,0.03312207,0.033149,0.03321307,3.84189687,115.85776406,0.03316046
2020-08-08 21:30:00,0.03328323,0.03315904,0.03321117,0.03328323,0.90053326,27.11512263,0.03321147
2020-08-08 22:00:00,0.03333089,0.03317114,0.03328653,0.03333089,1.08396385,32.58132293,0.03326948
2020-08-08 22:30:00,0.0333142,0.03323901,0.0333142,0.033281,0.31535017,9.46982599,0.03330052
2020-08-08 23:00:00,0.03338156,0.03323812,0.033271,0.03323817,2.47500112,74.30529826,0.03330854
2020-08-08 23:30:00,0.033747,0.03324513,0.03324607,0.033747,4.53218799,135.01077235,0.03356908
2020-08-09 00:00:00,0.0339,0.03365275,0.03374701,0.0339,21.16584426,625.76045085,0.03382419
2020-08-09 00:30:00,0.033926,0.03380301,0.03386796,0.03380301,0.19755914,5.83031338,0.03388482
2020-08-09 01:00:00,0.03385714,0.03359477,0.0338571,0.03379399,3.38577208,100.58174583,0.03366189
2020-08-09 01:30:00,0.03385299,0.03366521,0.03379795,0.03382633,2.71753526,80.57509707,0.03372673
2020-08-09 02:00:00,0.03387755,0.03376401,0.03385199,0.03379002,0.48399306,14.32350153,0.03379013
2020-08-09 02:30:00,0.03379201,0.03369696,0.033776,0.033754,0.21009655,6.22507115,0.03375006
2020-08-09 03:00:00,0.03380487,0.0336902,0.03372874,0.03375315,0.75579832,22.40973582,0.03372633
2020-08-09 03:30:00,0.0337827,0.03365897,0.03375315,0.03365898,6.54481705,194.31645984,0.03368122
2020-08-09 04:00:00,0.03372426,0.03363862,0.03365897,0.03365993,1.46678393,43.56694939,0.03366735
2020-08-09 04:30:00,0.03374197,0.03366492,0.03371599,0.03370499,0.16076877,4.76822212,0.03371671
2020-08-09 05:00:00,0.033771,0.03364446,0.0336904,0.033771,0.02838019,0.84213067,0.03370046
2020-08-09 05:30:00,0.03375499,0.03366501,0.03375499,0.03373301,0.2527163,7.49355469,0.03372448
2020-08-09 06:00:00,0.03375981,0.03371297,0.03372701,0.033745,0.91261765,27.05763845,0.03372865
2020-08-09 06:30:00,0.03375981,0.03370401,0.033734,0.03370401,0.33460781,9.92452787,0.03371523
2020-08-09 07:00:00,0.03379531,0.03368201,0.03368201,0.03375918,0.8343997,24.73259182,0.03373684
2020-08-09 07:30:00,0.033801,0.03368001,0.03376041,0.03379099,2.12870093,63.11827145,0.03372558
2020-08-09 08:00:00,0.03384183,0.03374813,0.03379071,0.03378387,1.00609623,29.78371209,0.03378008
2020-08-09 08:30:00,0.03379599,0.0337031,0.03378397,0.03376484,1.38779442,41.10673498,0.03376075
2020-08-09 09:00:00,0.03379901,0.03370909,0.03373001,0.03373903,0.1517928,4.49587753,0.03376266
2020-08-09 09:30:00,0.03373248,0.03316076,0.03373248,0.03341635,17.48672091,523.83035911,0.03338241
2020-08-09 10:00:00,0.0335074,0.03327158,0.03339702,0.033443,5.52713506,165.55842796,0.0333848
2020-08-09 10:30:00,0.03350843,0.033412,0.03345603,0.03349501,1.4763874,44.12004511,0.03346296
2020-08-09 11:00:00,0.033618,0.03348601,0.0335023,0.03357417,1.06671935,31.77077393,0.03357549
2020-08-09 11:30:00,0.03358792,0.03346801,0.03354401,0.03351002,4.68988905,139.96785537,0.0335069
2020-08-09 12:00:00,0.03354677,0.03335407,0.03351002,0.03335407,4.32935152,129.40328788,0.03345627
2020-08-09 12:30:00,0.033456,0.03329175,0.03335407,0.03337806,1.74493178,52.25199858,0.03339454
2020-08-09 13:00:00,0.03341899,0.03329547,0.03338819,0.03338767,0.32441338,9.72635585,0.03335405
